"ProjectID","EPGeoName","lat","lng","Ward","Constituency","County","Project Cost Yearly Breakdown (KES)","Total Project Cost (KES)","Approval Date ","Start Date (Planned)","Start Date (Actual)","End Date (Planned)","End Date (Actual)","Duration","Duration (Months)","Project Title","Project Description","Project Objectives","NG Programme","Vision 2030 Flagship Ministry","Vision 2030 Flagship Project/Programme","Implementing Agency","Implementation Status","MTEF Sector","Work Plan Progress (%) "
"2012/054013","Unspecified",0.349072,34.295245,,"BUTULA","BUSIA",1780219782,2967032967,"10/18/2010 12:00:00 AM","10/01/2010 12:00:00 AM","01/10/2010 12:00:00 AM","05/04/2016 12:00:00 AM",,"67 months 3 days","67 months","Programme For Agriculture And Livelihoods In Western Communities","Imrpoving the living standards of the poor by strnegthening the capacity of rural population to influence structure and processes affecting them. Areas covered include: Teso, Busia, Samia, Butula, Nambale, and Bunyala.","To contribute to poverty reduction in selcted districts in Western Kenya.","070600 - Economic Policy and National Planning","Unspecified","Unspecified","103 - Ministry of Devolution and Planning; 1031 - State Department for Planning","Ongoing","Public Administration and International Relations (PAIR)",0
"2012/054000","Garbatulla",0.3454986019,37.5693068231,"GARBATULLA","ISIOLO SOUTH","ISIOLO",22000000,22000000,"11/29/2012 12:00:00 AM","07/01/2012 12:00:00 AM",,"06/30/2017 12:00:00 AM",,"59 months 29 days","59 months","Garbatulla Water Supply Project","TO SUPPLY CLEAN AND SAFE WATER","SUPPLY CLEAN AND SAFE WATER","100400 - Water Resources Management","Unspecified","Unspecified","110 - Ministry of Environment Water and Natural Resources; 1102 - State Department for Water and Regional Authorities.","Pipelined","Environmental Protection, Water and Natural Resources",0
"2014/054694","Unspecified",0.3454986019,37.5693068231,"BULLA PESA","ISIOLO NORTH","ISIOLO",,,,,,,,,,,,,,,,,,,0
"2012/053953","Nation Wide - Kenya",0.3420833476,37.8748630177,"AKIRANG'ONDU","IGEMBE CENTRAL","MERU",47598750,63465000,"12/31/2011 12:00:00 AM","01/31/2012 12:00:00 AM",,"07/31/2017 12:00:00 AM",,"66 months 0","66 months","Rural Electrification Project","Supply and construction of 19991 km of 33kV medium voltage distribution lines and 591 units of 33/0.415 kVA distribution transformers and 709 km of 415 V low voltage distribution lines.","Electrification of 591 centres and about 35450 households in 66 constituencies accross Kenya.","021300 - Power  Transmission and Distribution","Unspecified","Unspecified","1151 - Ministry of Energy & Petroleum","Ongoing","Energy, Infrastructure and ICT",0
"2013/054282","Unspecified",0.327156,34.565994,,"MUMIAS EAST","KAKAMEGA",200000000,1200000000,"07/20/2007 12:00:00 AM","08/01/2009 12:00:00 AM",,"06/30/2018 12:00:00 AM",,"70 months 29 days","70 months","Water Sector Development Programme - Lake Victoria North","to supply clean and safe water","clean and safe water","100400 - Water Resources Management","Unspecified","Unspecified","110 - Ministry of Environment Water and Natural Resources; 1101 - State Department for Environment  and Natural Resources; 1102 - State Department for Water and Regional Authorities.","Ongoing","Environmental Protection, Water and Natural Resources",0
"2011/053168","Unspecified",0.323263,36.484733,,"LAIKIPIA WEST","LAIKIPIA",3502500000,4670000000,"11/10/2010 12:00:00 AM","11/08/2011 12:00:00 AM",,"06/30/2017 12:00:00 AM","07/12/2017 12:00:00 AM","72 months 15 days","72 months","Power Transmission System Improvement Project","The project consists of the construction of 431 km of 132kV lines, the extension of 6 substations and the construction of eight new substations that will contribute to the capacity of Kenya to increase the number of new connections by 200,000 annually.","To contribute to the capacity of Kenya by increasing the number of new connections by 200,000 annually as well as rural electricity rate from the current 23% to 40% by 2020","021300 - Power  Transmission and Distribution","Unspecified","Unspecified","1151 - Ministry of Energy & Petroleum","Ongoing","Energy, Infrastructure and ICT",0
"2014/054886","Unspecified",0.323263,36.484733,,"LAIKIPIA WEST","LAIKIPIA",685205423,2740821690,"05/28/2013 12:00:00 AM","06/11/2013 12:00:00 AM",,"12/28/2015 12:00:00 AM",,"30 months 13 days","30 months","Upgrading Of Rumuruti-Maralal (C77)Road","THE ROAD PROJECT IS A 35 KM SITUATED IN LAIKIPIA AND SAMBURU COUNTY.IT INVOLVES CONSTRUCTION OF EARTHWORKS,LANDSCAPING INCLUDING TOP SOILING AND GRASSING,TRAFFIC MANAGEMENT AND OTHER ACTIVITIES.","PROVIDE ACCESS TO ECONOMIC AND SOCIAL SERVICES","020200 - Road Transport","Unspecified","Unspecified","109 - Ministry of Transport and Infrastructure","Ongoing","Energy, Infrastructure and ICT",0
"2014/054652","Unspecified",0.31436,35.454872,,"AINABKOI","UASIN GISHU",40178990,80357980,"09/05/2012 12:00:00 AM","10/03/2012 12:00:00 AM","03/10/2012 12:00:00 AM","06/30/2014 12:00:00 AM",,"20 months 27 days","20 months","Construction Of Market Sheds In Eldoret","This project entails construction of market sheds, offices, store and ablution block at Langas market in Eldoret","To promote income generation activities among the residents.","010200 - Housing Development and Human Settlement","Ministry of Land Housing and Urban Development","Enacting Housing Bill, 2006 to Legislate for a One  Stop Housing Development Approvals Mechanism","1111 - Ministry of Land Housing and Urban Development","Ongoing","Agriculture, Rural and Urban Development (ARUD)",0
"2012/054014","Nation Wide - Kenya",0.3052624471,36.4844841551,"WASO","SAMBURU EAST","SAMBURU",51507168858,60091697000,"12/05/2012 12:00:00 AM","12/05/2012 12:00:00 AM","05/12/2012 12:00:00 AM","06/30/2019 12:00:00 AM",,"78 months 25 days","78 months","ETHIOPIA - KENYA ELECTRICITY EXPANSION HIGHWAY PROJECT (EA INTERCONNECTOR)","The project entails construction of a High Voltage Direct Current (HVDC) overhead transmission line to interconnect the Electricity network of Ethiopia, at Wolayta/Sodo substation, with the Kenya Network, at the Suswa Substation in order to increase the","To provide an additional transmission capacity to the National grid in order to address the increased power demand by ensuring that there is adequate, reliable, quality, affordable, sustainable and secure energy.","021300 - Power  Transmission and Distribution","Unspecified","Unspecified","1151 - Ministry of Energy & Petroleum","Ongoing","Energy, Infrastructure and ICT",0
"2014/054973","Unspecified",0.3052624471,36.4844841551,"RUMURUTI TOWNSHIP","LAIKIPIA WEST","LAIKIPIA",,,,,,,,,,,,,,,,,,,0
"2013/054070","Unspecified",0.29989,37.997164,,"IGEMBE CENTRAL","MERU",3150000000,3780000000,"12/18/2012 12:00:00 AM","01/09/2013 12:00:00 AM",,"02/13/2018 12:00:00 AM",,"61 months 4 days","61 months","Support To Enhancement Of Quality And Relevance In Higher Education, Science And Technology","The overall objective of the project is to contribute to high quality, education and training in STI.","(i)     Improving quality and relevance of STI education programs
(iii)   Strengthening human capital development for STI programs
(iii)   Improving quality of applied knowledge and skills in environmental and natural resource management
(iv)  Enhancing","050400 - University Education","Ministry of Education","Improved ST and I capacities and capabilities to support the key national transformation areas.","106 - Ministry of Education; 1061 - State Department for Education","Ongoing","Education",0
"2014/054873","Unspecified",0.29989,37.997164,,"IGEMBE CENTRAL","MERU",1166908896,4667635582,"06/01/2012 12:00:00 AM","06/18/2012 12:00:00 AM",,"12/17/2014 12:00:00 AM",,"29 months 27 days","29 months","Chiakaraga-Meru","THE ROAD PROJECT IS APPROXIMATELY 55KM LOCATED IN MERU COUNTY","TO ENHANCE ECONOMIC AND SOCIAL INTERGRATION","020200 - Road Transport","Unspecified","Unspecified","109 - Ministry of Transport and Infrastructure","Ongoing","Energy, Infrastructure and ICT",0
"2013/054578","Unspecified",0.2936571701,35.654491264,"SOY SOUTH","KEIYO SOUTH","ELEGEYO-MARAKWET",500000,5000000,"05/05/2013 12:00:00 AM","05/10/2013 12:00:00 AM",,"07/06/2013 12:00:00 AM",,"3 months 0","3 months","Teren Foot Bridge","THE PROJECT WILL CONNECT THE REMOTE PARTS OF THE KERIO VALLEY REGION OF THE DISTRICT","REDUCE CASES OF DEATHS DUE TO DROWNING DURING RAINY SEASON","020200 - Road Transport","Unspecified","Unspecified","109 - Ministry of Transport and Infrastructure","Completed","Energy, Infrastructure and ICT",0
"2013/054594","Unspecified",0.2936571701,35.654491264,"SOY SOUTH","KEIYO SOUTH","ELEGEYO-MARAKWET",1500000,7000000,"05/05/2013 12:00:00 AM","06/06/2013 12:00:00 AM","10/06/2013 12:00:00 AM","08/09/2013 12:00:00 AM",,"2 months 13 days","2 months","Kapkwongot Foot Bridge","THE BRIDGE WILL CONNECT THE HIGHLANDS AND THE KERIO VALLEY REGION OF THE DISTRICT  WHICH FOR LONG HAD BEEN SEPARATED BY RIVER KIMWARER","THE OBJECTIVE OF THE PROJECT IS TO EASE MOVEMENT AND OPEN UP THE EXPANSIVE KERIO VALLEY REGION OF THE DISTRICT WHICH FOR LONG HAD LAGGED BEHIND IN DEVELOPMENT","020200 - Road Transport","Unspecified","Unspecified","109 - Ministry of Transport and Infrastructure","Completed","Energy, Infrastructure and ICT",0
"2010/052263","Nation Wide - Kenya",0.2850029336,34.1127102625,"NANGINA","FUNYULA","BUSIA",2142000000,2142000000,"02/23/2009 12:00:00 AM","07/01/2010 12:00:00 AM",,"06/30/2016 12:00:00 AM",,"71 months 29 days","71 months","Community Empowerement And Institutional Support Project (CEISP)","The project comprises of two components; 
i) Capacity building component which aims at developing the capacity of communities and other local level stakeholders to make better, more focused and equitable use of resources made available through Devolved f","The project objective is to help empower poor communities to access socio-economic services in order to reduce poverty and to improve the management of local socio-economic development.","070600 - Economic Policy and National Planning","Unspecified","Unspecified","103 - Ministry of Devolution and Planning; 1031 - State Department for Planning","Ongoing","Public Administration and International Relations (PAIR)",0
"2014/054827","Unspecified",0.284613,34.702638,,"LURAMBI","KAKAMEGA",1484017813,4452053438,"05/15/2012 12:00:00 AM","01/05/2013 12:00:00 AM","09/05/2013 12:00:00 AM","04/01/2015 12:00:00 AM","04/01/2015 12:00:00 AM","19 months 26 days","19 months","Rehabilitation Of Kisumu-Kakamega Road Section","THE ROAD IS 47 KM LONG AND THE WORKS ARE SITUATED ALONG THE KISUMU -KAKAMEGA HIGHWAY. THE WORKS TO BE EXECUTED UNDER THE CONTRACT INCLUDE: PROVISION OF RESIDENT ENGINEER'S OFFICE AND LABORATORY; PROVISION OF RESIDENT ENGINEER'S JUNIOR AND SENIOR STAFF HO","PROVIDE ACCESS TO ECONOMIC AND SOCIAL SERVICES.","020200 - Road Transport","Unspecified","Unspecified","109 - Ministry of Transport and Infrastructure","Ongoing","Energy, Infrastructure and ICT",0
"2014/055038","Unspecified",0.284613,34.702638,,"LURAMBI","KAKAMEGA",,,,,,,,,,,,,,,,,,,0
"2014/055417","Unspecified",0.284613,34.702638,,"LURAMBI","KAKAMEGA",,,,,,,,,,,,,,,,,,,0
"2012/054005","Unspecified",0.276361,37.771379,,"TIGANIA EAST","MERU",80000000,80000000,"10/27/2006 12:00:00 AM","07/01/2012 12:00:00 AM",,"06/30/2016 12:00:00 AM",,"47 months 29 days","47 months","Tigania Water Supply Augmentation Project","Design and construction of a water supply system to augment existing Tigania Water supply with current production capacity of 2500m3/day. It is proposed to construct an intake on Thangatha river, a 12km gravity raw water main of 280mm diameter and 225m3","Provide access to sufficient, reliable affordable and safe drinking water that is physicaly available to the redients of Tigania East and West Districts and redUCE WATER BORNE DISEASES BY 50%??? WITHIN 1 YEAR","100400 - Water Resources Management","Unspecified","Unspecified","110 - Ministry of Environment Water and Natural Resources; 1102 - State Department for Water and Regional Authorities.","Pipelined","Environmental Protection, Water and Natural Resources",0
"2014/054795","Unspecified",0.276361,37.771379,,"TIGANIA EAST","MERU",573957077,1721871230,"03/10/2011 12:00:00 AM","06/09/2011 12:00:00 AM","07/07/2011 12:00:00 AM","07/06/2013 12:00:00 AM",,"25 months 24 days","25 months","Construction Of Meru-Mikinduri-Maua Road (D482)","THE PROJECT IS 18KM LONG AND COVERS TWO DISTINCT DISTRICTS,TIGANIA EAST AND IGEMBE SOUTH IN MERU COUNTY.IT STARTS AT MAUA TOWN AND TAKES A SOUTHWESTERLY COURSE AS A SECONDARY ROAD D482 TOWARDS MIKINDURI TO JOIN THE EARLIER CONSTRUCTED SECTION AT KIOLO ON","TO ERADICATE POVERTY AND TO ENHANCE BETTER TRANSPORTATION","020200 - Road Transport","Unspecified","Unspecified","109 - Ministry of Transport and Infrastructure","Ongoing","Energy, Infrastructure and ICT",0
"2013/054205","Unspecified",0.276361,37.771379,,"TIGANIA EAST","MERU",,,,,,,,,,,,,,,,,,,0
"2014/054952","Unspecified",0.273359,34.444134,,"MUMIAS WEST","KAKAMEGA",,,,,,,,,,,,,,,,,,,0
"2014/055085","Unspecified",0.270932,34.858245,,"SHINYALU","KAKAMEGA",,,,,,,,,,,,,,,,,,,0
"2012/053577","Unspecified",0.244977,34.077794,,"FUNYULA","BUSIA",,,,,,,,,,,,,,,,,,,0
"2014/055012","Unspecified",0.244977,34.077794,,"FUNYULA","BUSIA",,,,,,,,,,,,,,,,,,,0
"2013/054093","Kenya",0.2397500434,40.7912769241,"LIBOI","DAADAB","GARISSA",117500000,130500000,"03/22/2013 12:00:00 AM","02/01/2013 12:00:00 AM",,"06/30/2018 12:00:00 AM",,"64 months 29 days","64 months","Economic Empowerment Programme","The overall outcome of the programme shall be (1) enhance and mainstream inclusivenessof the poor and vulnerable in istitutional and policy framework and private sector participation in job-rich and pro-poor growth, and (2) empower the poor and vulnerabl","The overall outcome of the programme shall be (1) enhance and mainstream inclusivenessof the poor and vulnerable in istitutional and policy framework and private sector participation in job-rich and pro-poor growth, and (2) empower the poor and vulnerabl","070600 - Economic Policy and National Planning","Unspecified","Unspecified","103 - Ministry of Devolution and Planning; 1031 - State Department for Planning","Planned","Public Administration and International Relations (PAIR)",0
"2014/054887","Unspecified",0.236428,34.226167,,"UGENYA","SIAYA",,,,,,,,,,,,,,,,,,,0
"2014/055063","Unspecified",0.236428,34.226167,,"UGENYA","SIAYA",,,,,,,,,,,,,,,,,,,0
"2013/054408","Unspecified",0.2360772617,35.9534411043,"EMINING","MOGOTIO","BARINGO",,,,,,,,,,,,,,,,,,,0
"2012/053369","Unspecified",0.2202159247,38.1374800652,"IGEMBE EAST","IGEMBE CENTRAL","MERU",6753355705,8104026846,"12/22/2012 12:00:00 AM","12/31/2012 12:00:00 AM","06/12/2007 12:00:00 AM","12/31/2018 12:00:00 AM",,"120 months 25 days","120 months","Judicial Preformance Improvement Project (JPIP)","Improve the performance of judiciary to provide its services in the project areas in a more effective and accountable manner.
Project has four components:
i) Court Administration and Case Management
ii) Judiciary Training and Staff Development
iii) Court","To improve the performance of the Judiciary to provide its services in the Project areas in a more effective and accountable manner.","060700 - Constitutional Reforms","Office of The Attorney General and Department of Justice","Constitutional Reform","1261 - The Judiciary","Ongoing","Governance, Justice, Law and Order (GJLOS)",0
"2012/053953","Nation Wide - Kenya",0.2130990452,34.5802373741,"MARAMA NORTH","BUTERE","KAKAMEGA",47598750,63465000,"12/31/2011 12:00:00 AM","01/31/2012 12:00:00 AM",,"07/31/2017 12:00:00 AM",,"66 months 0","66 months","Rural Electrification Project","Supply and construction of 19991 km of 33kV medium voltage distribution lines and 591 units of 33/0.415 kVA distribution transformers and 709 km of 415 V low voltage distribution lines.","Electrification of 591 centres and about 35450 households in 66 constituencies accross Kenya.","021300 - Power  Transmission and Distribution","Unspecified","Unspecified","1151 - Ministry of Energy & Petroleum","Ongoing","Energy, Infrastructure and ICT",0
"2010/051660","Unspecified",0.211434,35.395105,,"KESSES","UASIN GISHU",1000,360000000,"06/03/2010 12:00:00 AM","01/18/2010 12:00:00 AM",,"06/30/2016 12:00:00 AM",,"77 months 12 days","77 months","School Of Public Health, Dentistry And Nursing - Phase One","Construction of the school of Public Health, Dentistry and Nursing.","To increase access to quality higher education in the field of public health, dentistry and nursing.","Unspecified","Ministry of Education","Improved ST and I capacities and capabilities to support the key national transformation areas.","106 - MOES&T - Moi University","Ongoing","Education",0
"2014/054654","Unspecified",0.211434,35.395105,,"KESSES","UASIN GISHU",29000000,43634250,"02/07/2012 12:00:00 AM","07/10/2012 12:00:00 AM","10/07/2012 12:00:00 AM","06/30/2014 12:00:00 AM",,"23 months 20 days","23 months","Construction Of Classrooms At Huruma Primary School Eldoret","It involves construction of 10 No. classrooms, offices and sanitary facilities","To improve learning facilities at school.","010200 - Housing Development and Human Settlement","Ministry of Land Housing and Urban Development","Enacting Housing Bill, 2006 to Legislate for a One  Stop Housing Development Approvals Mechanism","1111 - Ministry of Land Housing and Urban Development","Ongoing","Agriculture, Rural and Urban Development (ARUD)",0
"2014/055077","Unspecified",0.211434,35.395105,,"KESSES","UASIN GISHU",,,,,,,,,,,,,,,,,,,0
"2014/055087","Unspecified",0.211434,35.395105,,"KESSES","UASIN GISHU",,,,,,,,,,,,,,,,,,,0
"2014/055104","Unspecified",0.211434,35.395105,,"KESSES","UASIN GISHU",,,,,,,,,,,,,,,,,,,0
"2014/054661","Unspecified",0.189745,34.709504,,"IKOLOMANI","KAKAMEGA",8931170,17862341,"04/04/2013 12:00:00 AM","05/13/2013 12:00:00 AM",,"11/30/2013 12:00:00 AM",,"6 months 17 days","6 months","Upgrading Of 5.8km To Gravel Standards In Malinya","Upgrading of 5.8km to gravel standards in Malinya","Open up new areas for housing development","010200 - Housing Development and Human Settlement","Ministry of Land Housing and Urban Development","Enacting Housing Bill, 2006 to Legislate for a One  Stop Housing Development Approvals Mechanism","1111 - Ministry of Land Housing and Urban Development","Ongoing","Agriculture, Rural and Urban Development (ARUD)",0
"2010/051556","Unspecified",0.1849713649,34.4580563266,"MARAMA SOUTH","BUTERE","KAKAMEGA",13044015,20497739,"01/25/2006 12:00:00 AM","07/12/2006 12:00:00 AM",,"09/30/2016 12:00:00 AM",,"122 months 18 days","122 months","Smallholder Dairy Commercialisation Programme","JOINT DEVELOPMENT PROGRAMME BETWEEN THE GOVERNMENT AND INTERNATIONAL FUND FOR AGRICULTURAL DEVELOPMENT WITH AN EPHASIS ON COMMERCIALISATION OF DAIRY AND DAIRY PRODUCTS THROUGH THE MARKET ORIENTED DAIRY ENTERPRISE APPROACH.","INCREASE THE INCOME OF THE POOR RURAL HOUSE HOLD THAT DEPEND SUBSTANTIALLY ON PRODUCTION AND TRADE OF DAIRY PRODUCTS FOR THEIR LIVELIHOOD.","011200 - Livestock Resources Management and Development","Unspecified","Unspecified","116 - Ministry of Agriculture, Livestock and Fisheries; 1162 - State Department for Livestock","Ongoing","Agriculture, Rural and Urban Development (ARUD)",0
"2010/052504","Unspecified",0.1844200064,34.0441410394,"BWIRI","FUNYULA","BUSIA",1900000000,1900000000,"06/29/2010 12:00:00 AM","10/01/2010 12:00:00 AM","01/10/2010 12:00:00 AM","06/30/2015 12:00:00 AM",,"59 months 29 days","59 months","East Africa Public Health Laboratory Network Project (EAPLHP)","REHABILITATION,EXPANSION AND CONSTRUCTION OF 5 SATELITE LABORATORIES TO EXPAND DIAGNOSTIC SERVICES
DEVELOP CAPACITYOF LABORATORY PERSONEL
CARRYING OUT OPERATIONAL REASEARCH AND FACILITATE KNOWLEDGE SHARING","ESTABLISH A NETWORK OF EFFICIENT, HIGH QUALITY,ACCESSIBLE PUBLIC HEALTH LABORATORIES FOR THE DIAGNOSIS AND SURVAILLANCE OF TUBERCULOSIS AND OTHER COMMUNICABLE DISEASES","040100 - Preventive & Promotive Health Services","Unspecified","Unspecified","1081 - Ministry of Health","Ongoing","Health",0
"2013/054443","Unspecified",0.1751438058,35.0809005968,"KAPSABET","EMGWEN","NANDI",,,,,,,,,,,,,,,,,,,0
"2014/055034","Unspecified",0.1751438058,35.0809005968,"KAPSABET","EMGWEN","NANDI",,,,,,,,,,,,,,,,,,,0
"2014/054768","Unspecified",0.160224,35.983898,,"MOGOTIO","BARINGO",395133100,395133100,"02/05/2014 12:00:00 AM","04/01/2014 12:00:00 AM",,"06/30/2015 12:00:00 AM",,"14 months 29 days","14 months","Rural Water Supply Project In East Pokot, Baringo County","To construct 30 boreholes targeting villages in East Pokot","Improve water accessibility in East Pokot","100400 - Water Resources Management","Unspecified","Unspecified","110 - Ministry of Environment Water and Natural Resources","Planned","Environmental Protection, Water and Natural Resources",0
"2013/054285","Unspecified",0.1448466286,37.5712063377,"KIIRUA/NAARI","BUURI","MERU",30923770,30923770,"01/03/2012 12:00:00 AM","11/22/2011 12:00:00 AM","10/01/2012 12:00:00 AM","01/01/2014 12:00:00 AM",,"25 months 9 days","25 months","Library Complex","CONSTRUCTION OF A THREE STOREY LIBRARY COMPLEX BLOCK","TO INCREASE STUDENT ACCESS TO THE LIBRARY
TO MAKE USE OF THE RESOURSE CENTRE
ENHANCE STORAGE OF LEARNING MATERIALS","050500 - Technical Vocational Education and Training","Ministry of Education","Improved ST and I capacities and capabilities to support the key national transformation areas.","MoHEST - Kiirua Technical Training Institute","Ongoing","Education",0
"2010/052263","Nation Wide - Kenya",0.1287423578,35.4392206781,"TARAKWA","KESSES","UASIN GISHU",2142000000,2142000000,"02/23/2009 12:00:00 AM","07/01/2010 12:00:00 AM",,"06/30/2016 12:00:00 AM",,"71 months 29 days","71 months","Community Empowerement And Institutional Support Project (CEISP)","The project comprises of two components; 
i) Capacity building component which aims at developing the capacity of communities and other local level stakeholders to make better, more focused and equitable use of resources made available through Devolved f","The project objective is to help empower poor communities to access socio-economic services in order to reduce poverty and to improve the management of local socio-economic development.","070600 - Economic Policy and National Planning","Unspecified","Unspecified","103 - Ministry of Devolution and Planning; 1031 - State Department for Planning","Ongoing","Public Administration and International Relations (PAIR)",0
"2014/055027","Unspecified",0.1285757783,37.7406769835,"NKOMO","TIGANIA WEST","MERU",,,,,,,,,,,,,,,,,,,0
"2014/055040","Unspecified",0.1285757783,37.7406769835,"NKOMO","TIGANIA WEST","MERU",,,,,,,,,,,,,,,,,,,0
"2014/055046","Unspecified",0.1285757783,37.7406769835,"NKOMO","TIGANIA WEST","MERU",,,,,,,,,,,,,,,,,,,0
"2012/053345","Nation Wide - Kenya",0.1181697409,34.7137026361,"WASO","SAMBURU EAST","SAMBURU",300000000,300000000,"05/23/2011 12:00:00 AM","05/23/2011 12:00:00 AM",,"12/31/2016 12:00:00 AM","03/09/2018 12:00:00 AM","64 months 9 days","64 months","Kenya Transport Sector Support Project (KTSSP)","The objective of the project are to (a) increase the efficiency of road transport along the northern corridor and the Tanzania -Kenya- Sudan Road Corridor; (b) Enhance aviation safety and security to meet international standards ; (c) improve the institu","xxx","020200 - Road Transport","Ministry of Transport and Infrastructure","Develop an Integrated Growth and Development Strategy for Six Metropolitan Regions; Lamu Corridor Development.; Development of 1st?????World Airport Facilities.","109 - Ministry of Transport and Infrastructure; 1091 - State Department of Infrastructure; 1092 - State Department of Transport","Ongoing","Energy, Infrastructure and ICT",0
"2010/051556","Unspecified",0.1157841743,35.1655212497,"NANDI HILLS","NANDI HILLS","NANDI",13044015,20497739,"01/25/2006 12:00:00 AM","07/12/2006 12:00:00 AM",,"09/30/2016 12:00:00 AM",,"122 months 18 days","122 months","Smallholder Dairy Commercialisation Programme","JOINT DEVELOPMENT PROGRAMME BETWEEN THE GOVERNMENT AND INTERNATIONAL FUND FOR AGRICULTURAL DEVELOPMENT WITH AN EPHASIS ON COMMERCIALISATION OF DAIRY AND DAIRY PRODUCTS THROUGH THE MARKET ORIENTED DAIRY ENTERPRISE APPROACH.","INCREASE THE INCOME OF THE POOR RURAL HOUSE HOLD THAT DEPEND SUBSTANTIALLY ON PRODUCTION AND TRADE OF DAIRY PRODUCTS FOR THEIR LIVELIHOOD.","011200 - Livestock Resources Management and Development","Unspecified","Unspecified","116 - Ministry of Agriculture, Livestock and Fisheries; 1162 - State Department for Livestock","Ongoing","Agriculture, Rural and Urban Development (ARUD)",0
"2011/053170",0,0.1132467941,34.3149562828,"NORTH ALEGO","ALEGO USONGA","SIAYA",,147540984,"06/10/2010 12:00:00 AM","07/01/2010 12:00:00 AM",,"07/31/2013 12:00:00 AM",,"72 months 0","72 months","Expanded Business Alliance Against Chronic Hunger (BAACH)","The Expanded Business Alliance Against Chronic Hunger (BAACH) Project aims at implementing an activity program for agri-business development with irrigation solutions for sustainable food security, economic empowerment and economic growth, through format","??????Establish a model for public ??????private collaboration addressing hunger and poverty reduction which can be replicated or scaled to other regions
??????Develop and implement commercially viable, potentially scalable business models which reduce hunger and","010900 - Agribusiness and Information Management","Ministry of Agriculture, Livestock and Fisheries","ASAL Development Projects","116 - Ministry of Agriculture, Livestock and Fisheries","Ongoing","Agriculture, Rural and Urban Development (ARUD)",0
"2010/052263","Nation Wide - Kenya",0.1076954812,34.5297464766,"YALA TOWNSHIP","GEM","SIAYA",2142000000,2142000000,"02/23/2009 12:00:00 AM","07/01/2010 12:00:00 AM",,"06/30/2016 12:00:00 AM",,"71 months 29 days","71 months","Community Empowerement And Institutional Support Project (CEISP)","The project comprises of two components; 
i) Capacity building component which aims at developing the capacity of communities and other local level stakeholders to make better, more focused and equitable use of resources made available through Devolved f","The project objective is to help empower poor communities to access socio-economic services in order to reduce poverty and to improve the management of local socio-economic development.","070600 - Economic Policy and National Planning","Unspecified","Unspecified","103 - Ministry of Devolution and Planning; 1031 - State Department for Planning","Ongoing","Public Administration and International Relations (PAIR)",0
"2010/052226","Unspecified",0.092344,38.142997,,"IGEMBE SOUTH","MERU",1951030929,2341237113,"03/30/2009 12:00:00 AM","06/30/2009 12:00:00 AM",,"12/31/2015 12:00:00 AM",,"78 months 1 day","78 months","Miti Mingi Maisha Bora- Phase II","ENSURE THE THE FOREST SECTOR CONTRIBUTES EFFECTIVELY AND SUSTAINABLY TO IMPROVE THE LIVES OF THE POOR, RESTORING THE ENVIRONMENT AND AIDING THE ECONOMIC RECOVERY AND GROWTH OF KENYA, WITHIN THE CONTEXT OF VISION 2030.","TO REDUCE POVERTY THROUGH ENSURING THE THE FOREST SECTOR CONTRIBUTES EFFECTIVELY AND SUSTAINABLY TO IMPROVE THE LIVES OF THE POOR,RESTORING THE ENVIRONMENT AND AIDING THE ECONOMIC RECOVERY AND GROWTH OF KENYA, WITHIN THE CONTEXT OF VISION 2030. WORKING T","100100 - General Administration Planning and Support Services","Unspecified","Unspecified","110 - Ministry of Environment Water and Natural Resources; 116 - MOAL&F - Kenya Forestry Service; 1101 - State Department for Environment  and Natural Resources","Ongoing","Environmental Protection, Water and Natural Resources",0
"2010/052313",0,0.092344,38.142997,,"IGEMBE SOUTH","MERU",1576546224,2837783200,"01/28/2005 12:00:00 AM","03/31/2006 12:00:00 AM","03/07/2006 12:00:00 AM","06/29/2018 12:00:00 AM",,"146 months 24 days","146 months","Green Zones Development Support Project","Has four main components 
i) Natural Forest Conservation- Paricipatory natural forests management, restoratoration of county council hilltops and watersheds
ii) Buffer Belt Watershed Management -Reforestation of 5000 ha of natural forests, plant 5000  ha","The overall goal of the project is to contribute to poverty reduction and improvement of forest cover for water and biodiversity conservation in Kenya. 

The specific objective of the project is to promote forest regeneration and conservation for environ","100200 - Environment Management and Protection; 010800 - Crop Development and Management","Unspecified","Unspecified","110 - Ministry of Environment Water and Natural Resources; 116 - Ministry of Agriculture, Livestock and Fisheries; 1101 - State Department for Environment  and Natural Resources; 1161 - State Department for Agriculture","Ongoing","Agriculture, Rural and Urban Development (ARUD)",0
"2014/054657","Unspecified",0.092344,38.142997,,"IGEMBE SOUTH","MERU",69000000,69000000,"02/07/2012 12:00:00 AM","08/27/2012 12:00:00 AM",,"08/26/2013 12:00:00 AM",,"11 months 30 days","11 months","Installation Of &Nbsp;High Mast Floodlighting Structures","High mast floodlighting structures distributed in the following slums as follows:- Bungoma (3), Nyahururu(3), Maua(3), Embu (3) and Malindi (3) .","To improve security of the dwellers by lighting the neighborhood.","010200 - Housing Development and Human Settlement","Ministry of Land Housing and Urban Development","Enacting Housing Bill, 2006 to Legislate for a One  Stop Housing Development Approvals Mechanism","1111 - Ministry of Land Housing and Urban Development","Ongoing","Agriculture, Rural and Urban Development (ARUD)",0
